subject,filename,yaw,pitch,l_h_ratio,l_v_ratio,r_h_ratio,r_v_ratio,label
0002,0002_2m_-30P_-10V_-15H.jpg,173.908,38.477,0.499,0.502,0.498,0.499,0
0002,0002_2m_-30P_-10V_-5H.jpg,173.984,38.851,0.500,0.502,0.499,0.499,1
0002,0002_2m_-30P_-10V_0H.jpg,174.202,38.949,0.500,0.503,0.499,0.499,1
0002,0002_2m_-30P_-10V_10H.jpg,174.038,39.339,0.499,0.504,0.501,0.499,1
0002,0002_2m_-30P_-10V_15H.jpg,173.902,40.141,0.499,0.503,0.501,0.499,0
0002,0002_2m_-30P_-10V_5H.jpg,173.832,39.256,0.500,0.504,0.500,0.499,1
0002,0002_2m_-30P_0V_-10H.jpg,174.052,38.524,0.499,0.501,0.498,0.499,1
0002,0002_2m_-30P_0V_-15H.jpg,173.949,38.031,0.499,0.501,0.498,0.499,0
0002,0002_2m_-30P_0V_-5H.jpg,173.990,39.958,0.500,0.503,0.498,0.498,1
0002,0002_2m_-30P_0V_0H.jpg,173.213,37.971,0.500,0.502,0.499,0.498,1
0002,0002_2m_-30P_0V_10H.jpg,173.405,39.604,0.500,0.504,0.500,0.499,1
0002,0002_2m_-30P_0V_15H.jpg,173.322,40.010,0.499,0.502,0.501,0.499,0
0002,0002_2m_-30P_0V_5H.jpg,174.063,38.523,0.500,0.504,0.500,0.499,1
0002,0002_2m_-30P_10V_-10H.jpg,173.815,38.297,0.500,0.501,0.498,0.498,1
0002,0002_2m_-30P_10V_-15H.jpg,173.254,38.071,0.499,0.500,0.499,0.498,0
0002,0002_2m_-30P_10V_-5H.jpg,174.094,38.195,0.501,0.502,0.498,0.498,1
0002,0002_2m_-30P_10V_0H.jpg,173.991,37.119,0.500,0.502,0.499,0.498,1
0002,0002_2m_-30P_10V_10H.jpg,174.049,38.497,0.501,0.503,0.501,0.498,1
0002,0002_2m_-30P_10V_15H.jpg,173.682,39.463,0.500,0.503,0.502,0.499,0
0002,0002_2m_-30P_10V_5H.jpg,174.037,37.585,0.499,0.503,0.501,0.498,1
0002,0002_2m_0P_-10V_-10H.jpg,-3.780,0.533,0.501,0.500,0.500,0.499,1
0002,0002_2m_0P_-10V_-15H.jpg,-4.097,2.491,0.502,0.500,0.500,0.499,0
0002,0002_2m_0P_-10V_-5H.jpg,-3.766,1.745,0.501,0.500,0.500,0.499,1
0002,0002_2m_0P_-10V_0H.jpg,-3.732,4.821,0.501,0.500,0.500,0.499,1
0002,0002_2m_0P_-10V_10H.jpg,-2.947,8.042,0.500,0.500,0.500,0.499,1
0002,0002_2m_0P_-10V_15H.jpg,-3.308,8.398,0.499,0.501,0.500,0.500,0
0002,0002_2m_0P_-10V_5H.jpg,-3.986,7.494,0.501,0.500,0.500,0.499,1
0002,0002_2m_0P_0V_-10H.jpg,-3.402,6.778,0.501,0.500,0.500,0.499,1
0002,0002_2m_0P_0V_-15H.jpg,-3.529,5.838,0.501,0.500,0.500,0.498,0
0002,0002_2m_0P_0V_-5H.jpg,-3.662,10.813,0.500,0.499,0.499,0.499,1
0002,0002_2m_0P_0V_0H.jpg,-1.663,2.770,0.500,0.499,0.500,0.499,1
0002,0002_2m_0P_0V_10H.jpg,-3.248,9.416,0.500,0.500,0.499,0.499,1
0002,0002_2m_0P_0V_15H.jpg,-3.362,10.239,0.500,0.500,0.500,0.499,0
0002,0002_2m_0P_0V_5H.jpg,-3.229,10.047,0.500,0.499,0.500,0.499,1
0002,0002_2m_0P_10V_-10H.jpg,-3.581,6.697,0.500,0.500,0.500,0.498,1
0002,0002_2m_0P_10V_-15H.jpg,-3.468,10.000,0.500,0.499,0.500,0.498,0
0002,0002_2m_0P_10V_-5H.jpg,-3.481,8.619,0.500,0.499,0.501,0.498,1
0002,0002_2m_0P_10V_0H.jpg,-3.473,8.995,0.500,0.499,0.500,0.498,1
0002,0002_2m_0P_10V_10H.jpg,-3.641,6.327,0.500,0.499,0.499,0.499,1
0002,0002_2m_0P_10V_15H.jpg,-3.220,8.250,0.501,0.499,0.500,0.499,0
0002,0002_2m_0P_10V_5H.jpg,-3.455,10.452,0.500,0.499,0.500,0.499,1
0002,0002_2m_15P_-10V_-10H.jpg,-5.871,-20.800,0.500,0.500,0.501,0.501,1
0002,0002_2m_15P_-10V_-15H.jpg,-6.462,-21.425,0.500,0.500,0.500,0.501,0
0002,0002_2m_15P_-10V_-5H.jpg,-5.964,-21.000,0.500,0.501,0.502,0.499,1
0002,0002_2m_15P_-10V_0H.jpg,-5.692,-19.016,0.501,0.501,0.502,0.500,1
0002,0002_2m_15P_-10V_10H.jpg,-5.430,-20.967,0.501,0.501,0.502,0.499,1
0002,0002_2m_15P_-10V_15H.jpg,-5.669,-20.385,0.501,0.500,0.502,0.500,0
0002,0002_2m_15P_-10V_5H.jpg,-5.725,-18.502,0.501,0.501,0.501,0.499,1
0002,0002_2m_15P_0V_-10H.jpg,-6.273,-23.677,0.501,0.499,0.502,0.500,1
0002,0002_2m_15P_0V_-15H.jpg,-5.902,-23.472,0.500,0.499,0.501,0.501,0
0002,0002_2m_15P_0V_-5H.jpg,-5.994,-21.228,0.500,0.500,0.502,0.500,1
0002,0002_2m_15P_0V_0H.jpg,-5.994,-22.160,0.500,0.500,0.502,0.499,1
0002,0002_2m_15P_0V_10H.jpg,-5.667,-20.772,0.501,0.501,0.501,0.499,1
0002,0002_2m_15P_0V_15H.jpg,-5.698,-22.535,0.501,0.500,0.501,0.499,0
0002,0002_2m_15P_0V_5H.jpg,-5.290,-20.225,0.500,0.501,0.502,0.498,1
0002,0002_2m_15P_10V_-10H.jpg,-6.065,-23.063,0.500,0.499,0.502,0.500,1
0002,0002_2m_15P_10V_-15H.jpg,-6.165,-23.300,0.500,0.499,0.502,0.501,0
0002,0002_2m_15P_10V_-5H.jpg,-5.967,-22.725,0.500,0.500,0.502,0.499,1
0002,0002_2m_15P_10V_0H.jpg,-6.109,-21.775,0.501,0.500,0.502,0.499,1
0002,0002_2m_15P_10V_10H.jpg,-6.426,-21.307,0.501,0.500,0.502,0.499,1
0002,0002_2m_15P_10V_15H.jpg,-6.273,-22.927,0.502,0.500,0.502,0.499,0
0002,0002_2m_15P_10V_5H.jpg,-6.081,-21.586,0.500,0.501,0.502,0.498,1
0002,0002_2m_30P_-10V_-10H.jpg,176.622,-35.326,0.499,0.500,0.499,0.502,1
0002,0002_2m_30P_-10V_-15H.jpg,176.497,-35.637,0.499,0.500,0.499,0.502,0
0002,0002_2m_30P_-10V_-5H.jpg,176.971,-36.008,0.500,0.500,0.500,0.502,1
0002,0002_2m_30P_-10V_0H.jpg,177.059,-34.905,0.500,0.500,0.500,0.503,1
0002,0002_2m_30P_-10V_10H.jpg,-7.258,-31.846,0.501,0.500,0.501,0.504,1
0002,0002_2m_30P_-10V_15H.jpg,177.248,-33.548,0.501,0.501,0.502,0.502,0
0002,0002_2m_30P_-10V_5H.jpg,177.010,-34.014,0.501,0.500,0.501,0.504,1
0002,0002_2m_30P_0V_-10H.jpg,176.882,-36.310,0.500,0.500,0.499,0.501,1
0002,0002_2m_30P_0V_-15H.jpg,176.469,-36.063,0.498,0.500,0.499,0.502,0
0002,0002_2m_30P_0V_-5H.jpg,176.967,-37.518,0.501,0.500,0.499,0.502,1
0002,0002_2m_30P_0V_0H.jpg,177.033,-37.499,0.500,0.499,0.500,0.501,1
0002,0002_2m_30P_0V_10H.jpg,-7.389,-33.004,0.500,0.501,0.502,0.503,1
0002,0002_2m_30P_0V_15H.jpg,176.690,-36.317,0.501,0.500,0.502,0.503,0
0002,0002_2m_30P_0V_5H.jpg,176.827,-35.539,0.500,0.500,0.501,0.502,1
0002,0002_2m_30P_10V_-10H.jpg,176.647,-37.723,0.501,0.500,0.499,0.501,1
0002,0002_2m_30P_10V_-15H.jpg,176.280,-37.319,0.498,0.498,0.498,0.501,0
0002,0002_2m_30P_10V_-5H.jpg,176.206,-37.093,0.500,0.499,0.500,0.501,1
0002,0002_2m_30P_10V_0H.jpg,175.854,-36.864,0.500,0.499,0.501,0.502,1
0002,0002_2m_30P_10V_10H.jpg,176.842,-37.938,0.500,0.499,0.501,0.502,1
0002,0002_2m_30P_10V_15H.jpg,-8.208,-35.051,0.500,0.501,0.503,0.501,0
0002,0002_2m_30P_10V_5H.jpg,176.471,-37.266,0.500,0.500,0.501,0.502,1
0003,0003_2m_-15P_-10V_-10H.jpg,0.051,17.666,0.500,0.502,0.499,0.500,1
0003,0003_2m_-15P_-10V_-15H.jpg,-0.142,18.694,0.500,0.501,0.499,0.500,0
0003,0003_2m_-15P_-10V_-5H.jpg,-0.026,19.100,0.500,0.502,0.499,0.500,1
0003,0003_2m_-15P_-10V_0H.jpg,0.216,18.983,0.500,0.501,0.499,0.500,1
0003,0003_2m_-15P_-10V_10H.jpg,-0.850,20.280,0.500,0.501,0.499,0.499,1
0003,0003_2m_-15P_-10V_15H.jpg,0.285,19.608,0.501,0.501,0.499,0.499,0
0003,0003_2m_-15P_-10V_5H.jpg,-0.391,19.287,0.500,0.501,0.499,0.499,1
0003,0003_2m_-15P_0V_-10H.jpg,1.236,18.343,0.500,0.500,0.499,0.498,1
0003,0003_2m_-15P_0V_-15H.jpg,0.474,20.471,0.500,0.500,0.498,0.500,0
0003,0003_2m_-15P_0V_-5H.jpg,0.844,19.756,0.500,0.501,0.499,0.500,1
0003,0003_2m_-15P_0V_0H.jpg,-0.589,20.669,0.498,0.500,0.499,0.499,1
0003,0003_2m_-15P_0V_10H.jpg,0.595,19.570,0.500,0.501,0.499,0.499,1
0003,0003_2m_-15P_0V_15H.jpg,0.424,20.089,0.502,0.501,0.500,0.498,0
0003,0003_2m_-15P_0V_5H.jpg,0.648,20.785,0.500,0.501,0.499,0.499,1
0003,0003_2m_-15P_10V_-10H.jpg,1.457,18.240,0.500,0.500,0.499,0.499,1
0003,0003_2m_-15P_10V_-15H.jpg,0.355,18.444,0.499,0.500,0.499,0.498,0
0003,0003_2m_-15P_10V_-5H.jpg,0.743,19.309,0.499,0.500,0.499,0.498,1
0003,0003_2m_-15P_10V_0H.jpg,-0.037,21.399,0.499,0.501,0.499,0.498,1
0003,0003_2m_-15P_10V_10H.jpg,-0.817,21.968,0.500,0.501,0.499,0.498,1
0003,0003_2m_-15P_10V_15H.jpg,-0.931,20.724,0.501,0.501,0.499,0.498,0
0003,0003_2m_-15P_10V_5H.jpg,-0.432,24.711,0.499,0.501,0.498,0.497,1
0003,0003_2m_-30P_-10V_-10H.jpg,4.271,26.211,0.500,0.501,0.499,0.500,1
0003,0003_2m_-30P_-10V_-15H.jpg,3.693,28.770,0.500,0.501,0.498,0.501,0
0003,0003_2m_-30P_-10V_-5H.jpg,4.170,28.067,0.500,0.501,0.498,0.500,1
0003,0003_2m_-30P_-10V_0H.jpg,3.315,27.934,0.500,0.501,0.498,0.500,1
0003,0003_2m_-30P_-10V_10H.jpg,2.913,26.804,0.501,0.501,0.499,0.499,1
0003,0003_2m_-30P_-10V_15H.jpg,2.988,27.496,0.501,0.502,0.500,0.499,0
0003,0003_2m_-30P_-10V_5H.jpg,3.928,26.460,0.500,0.501,0.498,0.500,1
0003,0003_2m_-30P_0V_-10H.jpg,4.170,30.031,0.499,0.501,0.498,0.500,1
0003,0003_2m_-30P_0V_-15H.jpg,3.892,30.787,0.499,0.500,0.499,0.500,0
0003,0003_2m_-30P_0V_-5H.jpg,3.767,29.004,0.499,0.501,0.498,0.500,1
0003,0003_2m_-30P_0V_0H.jpg,1.945,30.111,0.501,0.502,0.498,0.500,1
0003,0003_2m_-30P_0V_10H.jpg,4.566,28.089,0.502,0.502,0.499,0.499,1
0003,0003_2m_-30P_0V_15H.jpg,4.511,31.852,0.500,0.502,0.500,0.498,0
0003,0003_2m_-30P_0V_5H.jpg,4.763,27.646,0.501,0.501,0.499,0.500,1
0003,0003_2m_-30P_10V_-10H.jpg,3.521,33.028,0.499,0.500,0.498,0.499,1
0003,0003_2m_-30P_10V_-15H.jpg,4.044,32.756,0.498,0.500,0.499,0.499,0
0003,0003_2m_-30P_10V_-5H.jpg,3.451,31.983,0.499,0.501,0.498,0.499,1
0003,0003_2m_-30P_10V_0H.jpg,3.190,30.726,0.500,0.501,0.498,0.499,1
0003,0003_2m_-30P_10V_10H.jpg,2.963,31.029,0.501,0.503,0.500,0.498,1
0003,0003_2m_-30P_10V_15H.jpg,1.505,31.842,0.502,0.503,0.499,0.498,0
0003,0003_2m_-30P_10V_5H.jpg,3.411,31.876,0.501,0.501,0.499,0.498,1
0003,0003_2m_0P_-10V_-10H.jpg,4.990,-3.952,0.500,0.500,0.500,0.499,1
0003,0003_2m_0P_-10V_-15H.jpg,4.405,-4.606,0.500,0.500,0.500,0.499,0
0003,0003_2m_0P_-10V_-5H.jpg,5.189,-2.234,0.501,0.500,0.500,0.500,1
0003,0003_2m_0P_-10V_0H.jpg,5.122,-3.549,0.501,0.499,0.500,0.499,1
0003,0003_2m_0P_-10V_10H.jpg,4.565,-2.098,0.500,0.499,0.500,0.499,1
0003,0003_2m_0P_-10V_15H.jpg,4.166,-3.434,0.501,0.499,0.500,0.500,0
0003,0003_2m_0P_-10V_5H.jpg,4.769,-4.681,0.501,0.499,0.501,0.499,1
0003,0003_2m_0P_0V_-10H.jpg,5.194,-3.438,0.500,0.500,0.501,0.498,1
0003,0003_2m_0P_0V_-15H.jpg,4.517,-4.812,0.500,0.500,0.500,0.498,0
0003,0003_2m_0P_0V_-5H.jpg,5.003,-3.731,0.500,0.500,0.501,0.499,1
0003,0003_2m_0P_0V_0H.jpg,3.325,-2.877,0.500,0.499,0.501,0.499,1
0003,0003_2m_0P_0V_10H.jpg,4.254,-3.485,0.500,0.499,0.500,0.499,1
0003,0003_2m_0P_0V_15H.jpg,3.204,-3.079,0.501,0.499,0.501,0.500,0
0003,0003_2m_0P_0V_5H.jpg,4.435,-3.957,0.501,0.499,0.500,0.499,1
0003,0003_2m_0P_10V_-10H.jpg,3.608,-4.032,0.500,0.500,0.501,0.498,1
0003,0003_2m_0P_10V_-15H.jpg,3.576,-5.679,0.500,0.500,0.501,0.498,0
0003,0003_2m_0P_10V_-5H.jpg,4.321,-6.899,0.501,0.499,0.501,0.498,1
0003,0003_2m_0P_10V_0H.jpg,3.785,-5.060,0.501,0.499,0.501,0.498,1
0003,0003_2m_0P_10V_10H.jpg,3.105,-5.229,0.501,0.499,0.500,0.498,1
0003,0003_2m_0P_10V_15H.jpg,2.594,-7.556,0.501,0.499,0.500,0.498,0
0003,0003_2m_0P_10V_5H.jpg,3.589,-4.038,0.501,0.499,0.500,0.498,1
0003,0003_2m_15P_-10V_-10H.jpg,-2.426,-14.420,0.502,0.501,0.501,0.499,1
0003,0003_2m_15P_-10V_-15H.jpg,-2.763,-14.226,0.501,0.501,0.501,0.499,0
0003,0003_2m_15P_-10V_-5H.jpg,-2.117,-13.476,0.502,0.501,0.502,0.499,1
